GENE_SYMBOL,GSM2445716,GSM2445717,GSM2445718,GSM2445719,GSM2445720,GSM2445721,GSM2445722,GSM2445723,GSM2445724,GSM2445725,GSM2445726,GSM2445727,GSM2445728,GSM2445729,GSM2445730,GSM2445731,GSM2445732,GSM2445733,GSM2445734,GSM2445735,GSM2445736,GSM2445737,GSM2445738,GSM2445739,GSM2445740
5S_rRNA,,,,,,,,,,,,,,,,,,,,,,,,,
5_8S_rRNA,,,,,,,,,,,,,,,,,,,,,,,,,
7SK,,,,,,,,,,,,,,,,,,,,,,,,,
A1BG,,,,,,,,,,,,,,,,,,,,,,,,,
A1BG-AS1,,,,,,,,,,,,,,,,,,,,,,,,,
A1CF,,,,,,,,,,,,,,,,,,,,,,,,,
A2M,12.48840647,11.46366462,12.11035098,13.32466136,14.42413274,13.77150483,10.63394157,13.3695467,13.35279711,13.93428894,12.77942668,15.22280682,12.28491433,13.98926178,13.28403013,13.23628329,13.35426454,13.06775583,13.32343749,12.98396304,13.87638909,12.31606812,13.26700284,12.58495629,13.28409259
A2M-AS1,,,,,,,,,,,,,,,,,,,,,,,,,
A2ML1,,,,,,,,,,,,,,,,,,,,,,,,,
A2ML1-AS1,,,,,,,,,,,,,,,,,,,,,,,,,
A2ML1-AS2,,,,,,,,,,,,,,,,,,,,,,,,,
A2MP1,,,,,,,,,,,,,,,,,,,,,,,,,
A3GALT2,,,,,,,,,,,,,,,,,,,,,,,,,
A4GALT,,,,,,,,,,,,,,,,,,,,,,,,,
A4GNT,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-913P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-914P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-915P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-916P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-917P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-918P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-919P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-91P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-920P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-921P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-922P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-923P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-924P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-925P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-926P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-927P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-928P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-929P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-92P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-930P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-931P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-932P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-933P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-934P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-935P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-936P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-937P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-938P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-939P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-940P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-941P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-942P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-943P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-944P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-945P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-946P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-947P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-948P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-949P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-94P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-950P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-951P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-952P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-953P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-954P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-955P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-956P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-957P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-958P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-959P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-95P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-960P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-961P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-964P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-965P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-966P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-967P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-968P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-969P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-970P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-971P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-972P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-973P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-974P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-975P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-976P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-977P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-978P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-979P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-97P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-980P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-982P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-983P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-984P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-985P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-986P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-987P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-988P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-989P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-98P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-990P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-991P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-992P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-993P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-994P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-995P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-996P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-997P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-998P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-999P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6-99P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6ATAC,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6ATAC10P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6ATAC11P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6ATAC12P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6ATAC13P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6ATAC14P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6ATAC15P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6ATAC16P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6ATAC17P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6ATAC18P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6ATAC19P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6ATAC20P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6ATAC21P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6ATAC22P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6ATAC23P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6ATAC24P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6ATAC25P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6ATAC26P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6ATAC27P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6ATAC28P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6ATAC29P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6ATAC2P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6ATAC30P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6ATAC31P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6ATAC32P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6ATAC33P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6ATAC34P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6ATAC35P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6ATAC36P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6ATAC37P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6ATAC38P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6ATAC39P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6ATAC3P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6ATAC40P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6ATAC41P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6ATAC42P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6ATAC4P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6ATAC5P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6ATAC6P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6ATAC7P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6ATAC8P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6ATAC9P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU6V,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-1,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-102P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-103P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-104P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-105P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-106P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-107P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-10P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-110P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-111P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-113P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-115P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-116P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-119P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-11P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-120P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-121P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-123P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-124P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-125P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-126P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-127P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-128P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-129P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-12P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-130P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-133P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-134P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-136P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-137P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-138P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-13P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-140P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-141P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-143P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-144P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-147P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-148P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-149P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-14P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-151P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-152P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-153P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-154P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-155P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-156P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-157P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-159P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-160P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-161P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-164P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-165P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-167P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-169P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-170P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-171P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-172P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-173P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-174P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-175P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-176P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-179P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-180P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-181P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-182P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-183P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-185P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-186P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-187P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-188P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-18P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-190P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-192P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-193P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-194P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-195P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-196P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-197P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-19P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-200P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-20P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-21P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-22P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-23P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-24P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-25P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-26P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-27P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-28P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-29P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-2P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-30P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-34P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-35P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-37P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-38P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-3P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-40P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-41P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-43P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-45P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-46P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-47P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-48P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-49P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-4P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-50P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-51P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-52P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-53P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-54P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-55P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-56P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-57P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-59P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-60P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-61P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-62P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-63P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-65P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-66P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-67P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-69P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-6P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-70P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-71P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-73P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-74P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-75P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-77P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-79P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-7P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-80P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-81P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-82P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-84P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-85P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-87P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-88P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-8P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-90P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-92P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-93P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-94P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-95P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-96P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-97P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-99P,,,,,,,,,,,,,,,,,,,,,,,,,
RNU7-9P,,,,,,,,,,,,,,,,,,,,,,,,,
RNVU1-1,,,,,,,,,,,,,,,,,,,,,,,,,
RNVU1-14,,,,,,,,,,,,,,,,,,,,,,,,,
RNVU1-15,,,,,,,,,,,,,,,,,,,,,,,,,
RNVU1-17,,,,,,,,,,,,,,,,,,,,,,,,,
RNVU1-18,,,,,,,,,,,,,,,,,,,,,,,,,
RNVU1-19,,,,,,,,,,,,,,,,,,,,,,,,,
RNVU1-2,,,,,,,,,,,,,,,,,,,,,,,,,
RNVU1-3,,,,,,,,,,,,,,,,,,,,,,,,,
RNVU1-4,,,,,,,,,,,,,,,,,,,,,,,,,
RNVU1-6,,,,,,,,,,,,,,,,,,,,,,,,,
RNVU1-7,,,,,,,,,,,,,,,,,,,,,,,,,
RNVU1-8,,,,,,,,,,,,,,,,,,,,,,,,,
RNY1,,,,,,,,,,,,,,,,,,,,,,,,,
RNY1P1,,,,,,,,,,,,,,,,,,,,,,,,,
RNY1P10,,,,,,,,,,,,,,,,,,,,,,,,,
RNY1P11,,,,,,,,,,,,,,,,,,,,,,,,,
RNY1P12,,,,,,,,,,,,,,,,,,,,,,,,,
RNY1P13,,,,,,,,,,,,,,,,,,,,,,,,,
RNY1P14,,,,,,,,,,,,,,,,,,,,,,,,,
RNY1P15,,,,,,,,,,,,,,,,,,,,,,,,,
RNY1P16,,,,,,,,,,,,,,,,,,,,,,,,,
RNY1P2,,,,,,,,,,,,,,,,,,,,,,,,,
RNY1P3,,,,,,,,,,,,,,,,,,,,,,,,,
RNY1P4,,,,,,,,,,,,,,,,,,,,,,,,,
RNY1P5,,,,,,,,,,,,,,,,,,,,,,,,,
RNY1P6,,,,,,,,,,,,,,,,,,,,,,,,,
RNY1P7,,,,,,,,,,,,,,,,,,,,,,,,,
RNY1P8,,,,,,,,,,,,,,,,,,,,,,,,,
RNY1P9,,,,,,,,,,,,,,,,,,,,,,,,,
RNY3,,,,,,,,,,,,,,,,,,,,,,,,,
RNY3P1,,,,,,,,,,,,,,,,,,,,,,,,,
RNY3P10,,,,,,,,,,,,,,,,,,,,,,,,,
RNY3P11,,,,,,,,,,,,,,,,,,,,,,,,,
RNY3P12,,,,,,,,,,,,,,,,,,,,,,,,,
RNY3P13,,,,,,,,,,,,,,,,,,,,,,,,,
RNY3P14,,,,,,,,,,,,,,,,,,,,,,,,,
RNY3P15,,,,,,,,,,,,,,,,,,,,,,,,,
RNY3P16,,,,,,,,,,,,,,,,,,,,,,,,,
RNY3P2,,,,,,,,,,,,,,,,,,,,,,,,,
RNY3P3,,,,,,,,,,,,,,,,,,,,,,,,,
RNY3P4,,,,,,,,,,,,,,,,,,,,,,,,,
RNY3P5,,,,,,,,,,,,,,,,,,,,,,,,,
RNY3P7,,,,,,,,,,,,,,,,,,,,,,,,,
RNY3P8,,,,,,,,,,,,,,,,,,,,,,,,,
RNY3P9,,,,,,,,,,,,,,,,,,,,,,,,,
RNY4,,,,,,,,,,,,,,,,,,,,,,,,,
RNY4P10,,,,,,,,,,,,,,,,,,,,,,,,,
RNY4P13,,,,,,,,,,,,,,,,,,,,,,,,,
RNY4P14,,,,,,,,,,,,,,,,,,,,,,,,,
RNY4P16,,,,,,,,,,,,,,,,,,,,,,,,,
RNY4P17,,,,,,,,,,,,,,,,,,,,,,,,,
RNY4P18,,,,,,,,,,,,,,,,,,,,,,,,,
RNY4P19,,,,,,,,,,,,,,,,,,,,,,,,,
RNY4P20,,,,,,,,,,,,,,,,,,,,,,,,,
RNY4P23,,,,,,,,,,,,,,,,,,,,,,,,,
RNY4P24,,,,,,,,,,,,,,,,,,,,,,,,,
RNY4P25,,,,,,,,,,,,,,,,,,,,,,,,,
RNY4P27,,,,,,,,,,,,,,,,,,,,,,,,,
RNY4P28,,,,,,,,,,,,,,,,,,,,,,,,,
RNY4P29,,,,,,,,,,,,,,,,,,,,,,,,,
RNY4P3,,,,,,,,,,,,,,,,,,,,,,,,,
RNY4P30,,,,,,,,,,,,,,,,,,,,,,,,,
RNY4P34,,,,,,,,,,,,,,,,,,,,,,,,,
RNY4P36,,,,,,,,,,,,,,,,,,,,,,,,,
RNY4P37,,,,,,,,,,,,,,,,,,,,,,,,,
RNY4P6,,,,,,,,,,,,,,,,,,,,,,,,,
RNY4P7,,,,,,,,,,,,,,,,,,,,,,,,,
RNY4P9,,,,,,,,,,,,,,,,,,,,,,,,,
ROBO1,,,,,,,,,,,,,,,,,,,,,,,,,
ROBO2,,,,,,,,,,,,,,,,,,,,,,,,,
ROBO2P1,,,,,,,,,,,,,,,,,,,,,,,,,
ROBO3,,,,,,,,,,,,,,,,,,,,,,,,,
ROBO4,,,,,,,,,,,,,,,,,,,,,,,,,
ROCK1,,,,,,,,,,,,,,,,,,,,,,,,,
ROCK1P1,,,,,,,,,,,,,,,,,,,,,,,,,
ROCK2,,,,,,,,,,,,,,,,,,,,,,,,,
ROGDI,,,,,,,,,,,,,,,,,,,,,,,,,
ROM1,,,,,,,,,,,,,,,,,,,,,,,,,
ROMO1,,,,,,,,,,,,,,,,,,,,,,,,,
ROPN1,3.640957565,3.527762938,3.706486804,4.184302455,5.253308905,4.436220829,5.644588815,3.621913146,3.921879993,4.584191654,4.425299762,5.159878534,4.245995339,4.944965246,4.18839336,5.115997406,5.219648081,4.144519313,4.030425734,3.922155087,4.337135696,5.052543754,4.595335418,4.335735076,4.118957187
ROPN1B,,,,,,,,,,,,,,,,,,,,,,,,,
ROPN1L,,,,,,,,,,,,,,,,,,,,,,,,,
ROPN1L-AS1,,,,,,,,,,,,,,,,,,,,,,,,,
ROR1,,,,,,,,,,,,,,,,,,,,,,,,,
ROR1-AS1,,,,,,,,,,,,,,,,,,,,,,,,,
ROR2,,,,,,,,,,,,,,,,,,,,,,,,,
RORA,8.218386393,6.051324894,7.60372723,7.428228038,8.788085648,7.109992597,8.612408409,8.560512602,6.999882505,10.02159697,8.540776979,8.044401316,10.14806892,9.065388286,8.380013433,9.193999918,11.41239752,6.62256661,8.822239805,8.884540795,8.061732733,8.890925572,10.20477802,9.319246954,8.501875912
RORA-AS1,,,,,,,,,,,,,,,,,,,,,,,,,
RORA-AS2,,,,,,,,,,,,,,,,,,,,,,,,,
RORB,,,,,,,,,,,,,,,,,,,,,,,,,
RORB-AS1,,,,,,,,,,,,,,,,,,,,,,,,,
RORC,3.96288566,4.434653534,4.384558709,4.184302455,6.137831687,4.213828408,4.727050975,5.844305568,4.336917492,6.401327597,4.647692183,6.240798529,4.245995339,5.307535325,4.586942737,5.061549622,5.219648081,3.284696971,7.97528418,5.19224425,4.910321029,4.776909312,6.214245251,5.63119096,5.566416164
ROS1,,,,,,,,,,,,,,,,,,,,,,,,,
RP1,,,,,,,,,,,,,,,,,,,,,,,,,
RP1-100J12.1,,,,,,,,,,,,,,,,,,,,,,,,,
RP1-101A2.1,,,,,,,,,,,,,,,,,,,,,,,,,
RP1-101D8.1,,,,,,,,,,,,,,,,,,,,,,,,,
RP1-101G11.2,,,,,,,,,,,,,,,,,,,,,,,,,
RP1-101G11.3,,,,,,,,,,,,,,,,,,,,,,,,,
RP1-101K10.4,,,,,,,,,,,,,,,,,,,,,,,,,
RP1-101K10.6,,,,,,,,,,,,,,,,,,,,,,,,,
RP1-102D24.5,,,,,,,,,,,,,,,,,,,,,,,,,
RP1-102E24.1,,,,,,,,,,,,,,,,,,,,,,,,,
RP1-102E24.10,,,,,,,,,,,,,,,,,,,,,,,,,
