patient,0
RN7SL2,172718741.04970133
FTL,105636761.3276521
MT-CO3,98420502.55583234
MT-CO2,92171996.6883506
MT-ATP8,90441771.50576511
MT-ATP6,47687570.43796623
MT-CO1,44626657.84131116
IGKC,41191027.93217161
MT-ND4,39126372.07477457
MT-RNR2,31635949.66686755
PGC,26639021.59710066
MT-ND3,25850494.68570097
LIPF,20078144.492426462
IGKV2-24,17886040.753768515
MT-ND1,16464468.856923124
MT-CYB,16304021.55634763
S100A9,16241367.2421009
MT-ND4L,15077940.632690119
MT-ND2,11595125.055957511
ALB,11528894.40376161
MT-TC,6565938.081513572
MT-ND6,6170140.275508861
GKN1,5688286.509862515
S100A8,4417717.726482179
SPP1,4386195.6669800645
MT-ND5,3364182.621081747
S100A7,3224067.7571396916
RNU4-2,3029144.3028617427
MT-TP,2918639.2929839
PI3,2587866.7514342703
HBB,1940476.4675823126
PMEL,1922182.3952512792
IGHV3-30,1708906.7765672049
MT-RNR1,1659677.6103608839
HLA-DRA,1592298.9666405253
VGF,1587478.7993797814
RN7SKP255,1397904.916476163
IGHG1,1298170.1193034246
RPS12,1265030.8713277385
MIR3609,1227417.20344847
TMSB10,1126188.0763986548
TYRP1,1115045.2509533907
FGB,1062569.615471872
RPS27,937006.8786824733
KRT14,916401.3456744369
IGLV3-19,824436.4574096531
MT-TY,742616.7343736298
APOD,735321.6685483329
RPS18,720403.1644931326
KRT6A,651806.2344133052
PGA5,640082.992525678
EEF1A1,605833.3151226428
KRT16,598471.0008277693
FGA,572109.8657210424
FGG,472823.9779962429
ORM1,458891.33786786994
SERPINA1,434135.9733232985
S100A6,410379.59710244817
CD74,407703.4974176243
IGHA1,375405.0032598783
SNORA49,373434.7890731347
COL3A1,317960.20053467876
FABP3,316513.52910372027
MTATP6P1,316327.8606538552
IGLV1-36,310793.7951266546
PSAP,310413.9754590639
B2M,301717.877790789
TMSB4X,291678.6327235994
ACTG1,290149.0910177681
IGLC2,284740.3416371845
KRT10,282142.1434342141
RPL13A,278128.4575824746
APOE,277416.86493681866
DCT,269179.58134196815
RPS11,257964.51226846702
IGLV2-14,236085.0903945605
LGALS1,235941.25563638867
ACTB,235883.90887456437
MT-TN,233998.23861122833
SAA1,233439.76595488755
HLA-B,230027.34209924922
APOH,227551.46369700646
RNU5B-1,226003.4194682132
RPL8,216192.07304799688
TIMP1,212115.24778059582
MT-TV,200424.93855051484
SPRR1B,199820.4114639082
RPS6,199748.9268496991
RPL41,196795.24941758846
IGHV3-73,188442.7682829942
CTSB,182901.3278275908
IGKJ1,182054.05762302366
SPRR2E,181554.5759184041
IGKV4-1,181512.87018969326
TFF1,173192.38370484655
HP,168857.3940403705
HLA-A,160778.63828713438
IGHV3-7,158058.09578455903
HLA-DRB1,150350.65793648845
KRTDAP,149722.71000130687
