patient,0
FTL,173011830.68296516
MT-CO2,57716074.3051035
PGC,45667678.49160374
IGKC,39056354.52493525
MT-CO3,37168794.27576213
LIPF,34419358.50372731
MT-CO1,29625767.720018595
MT-ND4,28775255.456166383
MT-RNR2,25040947.19492251
MT-ATP6,18594396.395752203
ALB,16766225.145986537
MT-CYB,15183963.507826112
MT-ND1,12117095.086203963
MT-ND4L,11409913.009577952
MT-ATP8,10825778.595904272
MT-ND3,10561553.919365862
GKN1,9751299.256825862
MT-ND2,8034558.319070708
SPP1,7363603.2323557595
MT-ND6,4025366.104143735
MT-TP,3944322.9791353582
HBB,3223930.0438868436
MT-ND5,3085159.599122059
HLA-DRA,2317771.924609686
PMEL,1934714.026232211
TYRP1,1753085.8007426884
FGB,1622506.9077797222
RPS27,1354245.2720868527
IGHG1,1239224.2689321144
TMSB10,1216396.2256881648
MT-RNR1,1140010.128696171
PGA5,1097276.7218261918
RPS12,897824.7972646719
MT-TC,892990.7356625702
RPS18,888722.0923543811
FGA,878500.6293054229
APOD,870422.1365317493
FGG,704752.2204807858
SERPINA1,659352.344842382
ORM1,570625.8837415323
IGLV1-36,532480.3595079659
IGHA1,531117.3586536659
CD74,483788.1181247642
COL3A1,481725.0964430275
PSAP,453929.55569513445
TMSB4X,335205.7505701021
APOH,334449.52980805613
IGLV2-14,333892.28986626497
KRT10,325736.5374661629
IGHV3-73,322324.1687405974
S100A9,316545.75754773465
SAA1,299913.2540561788
TFF1,296879.161916274
B2M,290497.00832718046
RPL41,277906.95364210586
S100A6,275997.58687944576
RPS11,272367.37509565713
IGHV3-7,263880.9503182301
RPL8,263440.1251795941
EEF1A1,256106.76162953212
RPL13A,253106.14962819405
IGKV4-1,248543.84868187833
HP,244030.5525450105
RPS6,236346.10730492417
IGLV3-1,229560.77521674384
LGALS1,220148.79525684423
KRT1,200219.73813558137
MTATP6P1,191753.63296331637
IGLC2,188251.7943953761
S100A7,184020.12035367943
CTSB,180879.50144384088
CRP,180006.93884352976
ACTG1,172700.24865158353
HLA-DRB1,162996.44670752724
IGKV3-20,156798.93807623556
RPL11,156168.65538237806
HLA-B,155728.0583718355
CD63,153405.85499320927
DCT,148193.6122108992
RPL7,141432.28692509
MT-TY,141118.9760199487
TFF2,137867.75371223417
GAPDH,137750.39410926375
IGKV1-5,135255.3893859619
RPS8,135106.15914392323
PGA3,127391.48647439903
CCL21,122986.7511017305
RPS4X,120271.03775715288
IGLV3-25,117902.15890196872
APOC1,114999.1977245556
IGLC3,114342.2018867798
PABPC1,108606.40983760382
RPL10A,104918.99620606053
IGLV1-40,102945.88556870061
POSTN,97645.90303254196
SPARC,96741.61644315768
APOA2,96667.56624234929
RPS20,95306.95492993131
ACTB,89927.19771804461
RPL7A,89209.16211569421
